Date_ID,LabID,CRA,Error,DC13,OthMeasures,DateMethod,Material,Species,OthSiteID,OldSiteID,SiteID,IndID,SiteName,SiteContext,SiteType,TmpType,AdminRegion,Country,CaseStudyArea,Disarticulated,Cremation,Longitude,Latitude,LocQual,Source,Comments,Othersources,AnnaComment,aDNAOlalde
209396,OxA-7622,3410,50,-25.8,NA,AMS,charcoal,NA,Canmore 69430,203783,203783,203783,102 Findhorn,NA,"Bead(s) (faience), Cinerary Urn, Unidentified Flint (flint)",NA,NA,Scotland,NA,N/A,Yes,-3.6122,57.6592,B,http://canmore.org.uk/c14sample/OxA-7622,Pyre charcoal from short-lived species from a cremation in a cordoned urn with a necklace of 25 faience beads and a small flint chunk. Bone staining suggests the former presence of a copper alloy object. From information compiled by Patrick Ashmore.,NA,NA,NA
12552,NoLabID,2875,30,NA,NA,NA,bone,Homo sapiens,NA,12587,12587,12587,"226 Purley Way, Waddon",pit with semi-articulated human bones,NA,NA,"Surrey, England",England,NA,Yes,No,-0.1207,51.3753,B,"Archaeology in Surrey 2010, Surrey Archaeological Collections 97 (2013)",NA,NA,NA,NA
53863,OxA-V-2172-24,3156,31,NA,NA,AMS,bone,Homo sapiens,NA,16491,16491,16491,9 Holdings,NA,NA,burial(inhumation);cist(short),"Highland, Scotland",Scotland,NA,No,No,-4.211,58.5273,C,"Parker Pearson, M., Chamberlain, A.,Jay, M., Richards, M., Evans, J and Sheridan, A. (eds) Forthcoming. The Beaker People:  isotopes, mobility and diet in prehistoric Britain. Prehistoric Society monograph. Oxford: Oxbow.",NA,NA,NA,NA
57390,Beta-361911,3670,30,-21.1,NA,NA,bone,Homo sapiens,NA,17129,17129,17129-1,"90 High Street, Marlow, Wycombe","Fill of medieval pit [145], SK2",NA,"burial(inhumation,disturbed);associated(Beaker)","Buckinghamshire, England",England,NA,Unknown,No,-0.7748,51.5696,B,"Markus, S (2014) Archaeological excavation at 90 High Street, Marlow, Buckinghamshire: assessment report and updated project design. Northamptonshire Archaeology : Northamptonshire Archaeology, 13/145. doi:10.5284/1027598",NA,NA,"Remains of two Beaker-associated individuals dumped in a pit in 12th century AD, probably disturbed from a formal Beaker burial",NA
57389,Beta-361910,2660,30,-21.1,NA,NA,bone,Homo sapiens,NA,17129,17129,17129-2,"90 High Street, Marlow, Wycombe","Fill of medieval pit [145], SK1",NA,"burial(inhumation,disturbed);associated(Beaker)","Buckinghamshire, England",England,NA,Unknown,No,-0.7748,51.5696,B,"Markus, S (2014) Archaeological excavation at 90 High Street, Marlow, Buckinghamshire: assessment report and updated project design. Northamptonshire Archaeology : Northamptonshire Archaeology, 13/145. doi:10.5284/1027598",NA,NA,"Remains of two Beaker-associated individuals dumped in a pit in 12th century AD, probably disturbed from a formal Beaker burial",NA
226431,SUERC-23709,2895,35,-20.4,NA,NA,bone (cremated),Homo sapiens,NA,11694,11694,11694,"A2/A282, Darent valley","Context 10295, Cremation burial",NA,NA,"Kent, England",England,NA,N/A,Yes,0.2388,51.4289,B,http://library.thehumanjourney.net/478/,"Simmonds, Andrew and Wenban-Smith, Frances and Bates, Martin and Powell, Kelly and Sykes, Dan and Devaney, Rebecca and Stansbie, Daniel and Score, David and Biddulph, Edward and Blinkhorn, Paul and Booth, Paul and Boston, Ceridwen and Brown, Lisa and Challinor, Dana and Clough, Sharon and Cotter, John and Crowther, John and Druce, Denise and Howarth, Luke and Keys, Lynne and Lamdin-Whymark, Hugo and Macphail, Richard and Marquez-Grant, Nicholas and Mullin, David and Nicholson, Rebecca and Parfitt, Simon and Pelling, Ruth and Penkman, Kirsty and Poole, Cynthia and Schwenninger, Jean-Luc and Scott, Ian and Shaffrey, Ruth and Smith, Wendy and Stafford, Elizabeth and Strid, Lena and Verrill, Lucy and White, Tom and Whittaker, John E (2011) Excavations in North-West Kent, 2005-2007 One hundred thousand years of human activity in and around the Darent valley. Project Report. Oxford Archaeology South.",NA,NA,NA
56715,Beta-189875,3090,40,NA,NA,NA,bone,Homo sapiens,NA,12403,12403,12403,A41 Aston Clinton Bypass,pit 8263,NA,NA,"Buckinghamshire, England",England,NA,Yes,No,-0.7195,51.8035,C,"Anon (2005) Archaeological Investigations for the A41 Aston Clinton Bypass, Buckinghamshire. Abingdon: RPS doi:10.5284/1024190",Skull.,NA,NA,NA
226414,OxA-15672,2868,28,-13.1,NA,AMS,bone (cremated),Homo sapiens,NA,10047,10047,10047,"A421 Great Barford Bypass, Site 2 (High Barns Road)",Context 2151,NA,NA,"Bedfordshire, England",England,NA,N/A,Yes,-0.33,52.1733,B,http://library.thehumanjourney.net/493/,"Allen, M. et al. 2007. A421 Archaeology along the Great Barford Bypass. Project Report. Oxford Archaeology",NA,NA,NA
65127,SUERC-34217,3570,30,NA,NA,NA,bone (cremated),Homo sapiens,NA,18780,18780,18780,A483 Four Crosses Bypass,"Context 1057, cremation deposit in central pit 913 within ring ditch 898",NA,NA,"Powys, Wales",Wales,NA,N/A,Yes,-3.0857,52.7648,B,"CPAT REPORT No. 1115 A483 Four Crosses Bypass, Powys INTERIM REPORT ON EXCAVATIONS IN 2010",NA,NA,NA,NA
Healy3,Beta-210616,4460,40,NA,NA,NA,NA,NA,NA,NA,1000000,1000000,"A505 Baldock bypass, area 3, Herts",Crouched in oval grave G109.4. At centre of subsquare enclosure c. 4 m across. Peterborough Ware & charred cereal/grass in ditch.,NA,NA,"Hertfordshire, England",England,NA,No,No,-0.1589464,51.994548,NA,"Phillips 2009, 13-16",NA,NA,NA,NA
