Taxa,Classification
Glycine / Vigna / Pisium / Vicia faba,crop (bean)
"Glycine / Vigna / Pisium / Vicia faba, Quercoideae (Quercus / Castanopsis / Lithocarpus / Cyclobalanopsis)",crop (bean)
Glycine / Vigna / Pisium / Vicia faba?,crop (bean)
Glycine max,crop (bean)
Vigna angularis,crop (bean)
Vigna sp.,crop (bean)
"Vigna, Glycine, Pisum, Vicia",crop (bean)
Fagopyrum esculentum,crop (buckwheat)
Poaceae (large grain cereale),crop (cereal)
"Echinochloa esculenta, Setaria italica",crop (millet)
Panicum miliaceum,crop (millet)
Setaria italica,crop (millet)
"Setaria italica, Echinochloa esculenta",crop (millet)
Echinochloa esculenta,crop (native millet)
Oryza sativa,crop (rice)
"Oryza sativa, Glycine / Vigna / Pisium / Vicia faba",crop
"Oryza sativa, Setaria italica, Echinochloa esculenta, Fabaceae",crop
"Oryza sativa, Triticum sp., Setaria italica, Fabaceae",crop
Oryza sativa?,crop (rice)
Oryza sp.,crop (rice)
"Oryza sp., Miscanthus sp., Schizachyrium sp.",crop (rice)
Hordeum vulgare,crop (wheat / barley)
"Hordeum vulgare, Triticum sp.",crop (wheat / barley)
Triticum sp.,crop (wheat / barley)
Chionanthus retusus,Edible (low ranked)
Cornus controversa,Edible (low ranked)
"Cornus controversa, Abies sp.",Edible (low ranked)
Cornus macrophylla,Edible (low ranked)
Cornus sp.,Edible (low ranked)
Elaeagnus sp.,Edible (low ranked)
Elaeocarpus sp.,Edible (low ranked)
Elaeocarpus decipiens,Edible (low ranked)
Idesia polycarpa,Edible (low ranked)
Idesia sp.,Edible (low ranked)
Sorbus sp.,Edible (low ranked)
Maclura tricuspidata,Edible (low ranked)
Styrax sp.,Edible (low ranked)
Styrax japonicus,Edible (low ranked)
"Styrax sp., Abies sp.",Edible (low ranked)
"Celtis sp., Zelkova serrata",Edible (low ranked)
Sapindus mukorossi,Edible (low ranked)
Sorbus commixta,Edible (low ranked)
Zanthoxylum ailanthoides,Edible (low ranked)
Zanthoxylum piperitum,Edible (low ranked)
Zanthoxylum schinifolium,Edible (low ranked)
Zanthoxylum sp.,Edible (low ranked)
Zizania latifolia,Edible (low ranked)
"Moraceae, Morus sp.",fruit
Ampelopsis sp.,fruit
Vitaceae,fruit
Vitis coignetiae,fruit
Vitis sp.,fruit
Cerasus sp.,fruit (cultivated /wild?)
"Cerasus sp., Zelkova serrata",fruit (cultivated /wild?)
Choerospondias axillaris​,fruit (cultivated /wild?)
Citrus sp. [? Citrus unshiu],fruit (cultivated /wild?)
"Citrus sp. [? Citrus unshiu], Quercus subgenus Cyclobalanopsis",fruit (cultivated /wild?)
Citrus sp. [Citrus reticulata?],fruit (cultivated /wild?)
Diospyros kaki,fruit (cultivated /wild?)
Diospyros kaki var. sylvestris,fruit (cultivated /wild?)
"Diospyros kaki, Chlorostoma argyrostoma",fruit (cultivated /wild?)
Diospyros sp.,fruit (cultivated /wild?)
Ficus sp.,fruit (cultivated /wild?)
"Ficus sp., Ficus section (subgenus Synoecia)",fruit (cultivated /wild?)
Hovenia dulcis,fruit (cultivated /wild?)
Hovenia sp.,fruit (cultivated /wild?)
Morella rubra,fruit (cultivated /wild?)
Prunus / Cerasus sp. / subgenus Cerasus,fruit (cultivated /wild?)
"Prunus persica, Cerasus sp.",fruit (cultivated /wild?)
Prunus sp. subgenus Cerasus / Cerasus sp.,fruit (cultivated /wild?)
Morus alba ,fruit (cultivated)
Morus sp.,fruit (cultivated)
Prunus mume,fruit (cultivated)
"Prunus mume, Prunus persica",fruit (cultivated)
Prunus persica,fruit (cultivated)
Prunus salicina,fruit (cultivated)
"Mahogany section, Meliaceae, Melia azedarach",fruit (wild)
Melia azedarach,fruit (wild)
Actinidia sp.,fruit (wild)
Callicarpa sp.,fruit (wild)
Celtis sinensis,fruit (wild)
Celtis sp.,fruit (wild)
"Celtis sp., Bambusoideae",fruit (wild)
"Celtis sp., Ulmaceae",fruit (wild)
Cephalotaxus harringtonia,fruit (wild)
"Cephalotaxus harringtonia, Castanopsis sieboldii subsp. sieboldii",fruit (wild)
Morus australis,fruit (wild)
Phellodendron amurense,fruit (wild)
Phellodendron sp.,fruit (wild)
"Phellodendron amurense, Poaceae, Bambusoideae",fruit (wild)
Planchonella sp.,fruit (wild)
Prunus serrulata (syn. Cerasus jamasakura),fruit (wild)
Prunus spinulosa,fruit (wild)
Pyroideae,fruit (wild)
Pyroideae / Maloidaceae,fruit (wild)
Rhamnus sp.,fruit (wild)
Rubus sp.,fruit (wild)
"Phellodendron sp., Phellodendron amurense",fruit (wild)
Sambucus sieboldiana,fruit (wild)
Sambucus sp.,fruit (wild)
Vaccinium bracteatum,fruit (wild)
Vaccinium sp.,fruit (wild)
Viburnum sp.,fruit (wild)
"Morus australis, Castanea crenata",fruit/nuts
"Morus australis, Juglans mandshurica",fruit/nuts
"Morus sp., Carpinus sp.",fruit/nuts
"Morus australis, Zanthoxylum ailanthoides",fruit/nuts
Trapa japonica (Trapa natans var. bispinosa),nuts (aquatic)
Trapa natans,nuts (aquatic)
