"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region","cat","cat2","Region2"
200014,"AA-11692",3161,71,"grain (charred)","Hordeum vulgare",83,"Brough Head",-1.2831,59.8844,"Scotland","barley","Wheat + Barley","scottish_isles"
215472,"AA-17457",6240,65,"nutshell (charred)","Corylus avellana",650,"Lón Mór, Oban",-5.4799,56.3985,"Scotland","hazelnut","Hazelnut","scotland_main"
226309,"AA-18154",4600,70,"grain (charred)","Hordeum vulgare",824,"Biggar Common East",-3.5426,55.6393,"Scotland","barley","Wheat + Barley","scotland_main"
57002,"AA-18155",4645,65,"grain (charred)","Hordeum vulgare",824,"Biggar Common East",-3.5426,55.6393,"Scotland","barley","Wheat + Barley","scotland_main"
215478,"AA-20413",6530,75,"nutshell (charred)","Corylus avellana",1109,"Bannockburn",-3.9046,56.0894,"Scotland","hazelnut","Hazelnut","scotland_main"
215483,"AA-21620",7040,55,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland","hazelnut","Hazelnut","scottish_isles"
215492,"AA-21629",5415,60,"nutshell (charred)","Corylus avellana",1131,"Staosnaig, Scalasaig, Colonsay",-6.1984,56.0611,"Scotland","hazelnut","Hazelnut","scottish_isles"
200137,"AA-21630",3395,60,"nutshell (charred)","Corylus avellana",1141,"Colonsay, Staosnaig",-6.1984,56.0611,"Scotland","hazelnut","Hazelnut","scottish_isles"
200258,"AA-28050",3795,55,"nutshell (charred)","Corylus avellana",1900,"Fox Plantation",-4.9359,54.8752,"Scotland","hazelnut","Hazelnut","scotland_main"
200281,"AA-28735",3070,65,"nutshell","Corylus avellana",2140,"Briarfield Nurseries, Poulton-le-Fylde",-3.0091,53.8421,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
200318,"AA-33602",2875,40,"grain (charred)","Triticum",2982,"Kingsbarns",-2.6385,56.2971,"Scotland","wheat","Wheat + Barley","scotland_main"
200337,"AA-36876",3945,65,"nutshell","Corylus avellana",3272,"Melbourne, Biggar",-3.524,55.6234,"Scotland","hazelnut","Hazelnut","scotland_main"
200338,"AA-36877",3985,45,"nutshell","Corylus avellana",3272,"Melbourne, Biggar",-3.524,55.6234,"Scotland","hazelnut","Hazelnut","scotland_main"
200339,"AA-36878",4160,45,"nutshell","Corylus avellana",3272,"Melbourne, Biggar",-3.524,55.6234,"Scotland","hazelnut","Hazelnut","scotland_main"
200340,"AA-36879",4010,45,"nutshell","Corylus avellana",3272,"Melbourne, Biggar",-3.524,55.6234,"Scotland","hazelnut","Hazelnut","scotland_main"
200341,"AA-36880",4465,45,"nutshell","Corylus avellana",3272,"Melbourne, Biggar",-3.524,55.6234,"Scotland","hazelnut","Hazelnut","scotland_main"
200342,"AA-36881",4650,45,"nutshell","Corylus avellana",3272,"Melbourne, Biggar",-3.524,55.6234,"Scotland","hazelnut","Hazelnut","scotland_main"
